A2 wall-family campaign results (fixed engine cengine_lifo, exact; 2026-08-15)
Generator/driver: code/a2_wall_family.py (instances: B-side pinned to the family
word; c-side ALL words of f*c including the b-carrying (e,f,0); a-side ALL words
of f*a including the transverse c^e).  q=0 = control, B-side free over ALL its
words {b^f} u family.  Expected: q>=1 EXHAUSTED, q=0 FOUND.

== f <= 7, family + free-base controls (single sequential campaign) ==
(1,2) q=0  RESULT FOUND_TILING nodes=6 maxdepth=4 pruneA=0 pruneR=0 pruneP4=0 pruneP5=2  [0s]
(1,2) q=1  RESULT EXHAUSTED_NO_TILING nodes=2 maxdepth=1 pruneA=0 pruneR=0 pruneP4=0 pruneP5=3  [0s]
(1,2) q=2  RESULT EXHAUSTED_NO_TILING nodes=2 maxdepth=1 pruneA=0 pruneR=0 pruneP4=0 pruneP5=3  [0s]
(1,3) q=0  RESULT FOUND_TILING nodes=24 maxdepth=9 pruneA=3 pruneR=0 pruneP4=0 pruneP5=6  [0s]
(1,3) q=1  RESULT EXHAUSTED_NO_TILING nodes=11 maxdepth=6 pruneA=1 pruneR=0 pruneP4=0 pruneP5=5  [0s]
(1,3) q=2  RESULT EXHAUSTED_NO_TILING nodes=11 maxdepth=6 pruneA=1 pruneR=0 pruneP4=0 pruneP5=5  [0s]
(1,3) q=3  RESULT EXHAUSTED_NO_TILING nodes=11 maxdepth=6 pruneA=1 pruneR=0 pruneP4=0 pruneP5=5  [0s]
(2,3) q=0  RESULT FOUND_TILING nodes=34 maxdepth=9 pruneA=3 pruneR=2 pruneP4=2 pruneP5=14  [0s]
(2,3) q=1  RESULT EXHAUSTED_NO_TILING nodes=16 maxdepth=5 pruneA=0 pruneR=1 pruneP4=4 pruneP5=13  [0s]
(1,4) q=0  RESULT FOUND_TILING nodes=85 maxdepth=16 pruneA=9 pruneR=1 pruneP4=0 pruneP5=18  [0s]
(1,4) q=1  RESULT EXHAUSTED_NO_TILING nodes=27 maxdepth=9 pruneA=1 pruneR=0 pruneP4=0 pruneP5=7  [0s]
(1,4) q=2  RESULT EXHAUSTED_NO_TILING nodes=27 maxdepth=9 pruneA=1 pruneR=0 pruneP4=0 pruneP5=7  [0s]
(1,4) q=3  RESULT EXHAUSTED_NO_TILING nodes=27 maxdepth=9 pruneA=1 pruneR=0 pruneP4=0 pruneP5=7  [0s]
(1,4) q=4  RESULT EXHAUSTED_NO_TILING nodes=27 maxdepth=9 pruneA=1 pruneR=0 pruneP4=0 pruneP5=7  [0s]
(3,4) q=0  RESULT FOUND_TILING nodes=115 maxdepth=16 pruneA=3 pruneR=12 pruneP4=21 pruneP5=45  [0s]
(3,4) q=1  RESULT EXHAUSTED_NO_TILING nodes=67 maxdepth=9 pruneA=0 pruneR=4 pruneP4=21 pruneP5=41  [0s]
(1,5) q=0  RESULT FOUND_TILING nodes=400 maxdepth=25 pruneA=41 pruneR=19 pruneP4=0 pruneP5=58  [0s]
(1,5) q=1  RESULT EXHAUSTED_NO_TILING nodes=59 maxdepth=12 pruneA=1 pruneR=0 pruneP4=0 pruneP5=9  [0s]
(1,5) q=2  RESULT EXHAUSTED_NO_TILING nodes=59 maxdepth=12 pruneA=1 pruneR=0 pruneP4=0 pruneP5=9  [0s]
(1,5) q=3  RESULT EXHAUSTED_NO_TILING nodes=59 maxdepth=12 pruneA=1 pruneR=0 pruneP4=0 pruneP5=9  [0s]
(1,5) q=4  RESULT EXHAUSTED_NO_TILING nodes=59 maxdepth=12 pruneA=1 pruneR=0 pruneP4=0 pruneP5=9  [0s]
(1,5) q=5  RESULT EXHAUSTED_NO_TILING nodes=59 maxdepth=12 pruneA=1 pruneR=0 pruneP4=0 pruneP5=9  [0s]
(2,5) q=0  RESULT FOUND_TILING nodes=2417 maxdepth=25 pruneA=265 pruneR=325 pruneP4=205 pruneP5=297  [1s]
(2,5) q=1  RESULT EXHAUSTED_NO_TILING nodes=159 maxdepth=12 pruneA=1 pruneR=11 pruneP4=54 pruneP5=34  [0s]
(2,5) q=2  RESULT EXHAUSTED_NO_TILING nodes=159 maxdepth=12 pruneA=1 pruneR=11 pruneP4=54 pruneP5=34  [0s]
(3,5) q=0  RESULT FOUND_TILING nodes=2866 maxdepth=25 pruneA=241 pruneR=518 pruneP4=611 pruneP5=700  [1s]
(3,5) q=1  RESULT EXHAUSTED_NO_TILING nodes=366 maxdepth=11 pruneA=1 pruneR=46 pruneP4=90 pruneP5=283  [0s]
(4,5) q=0  RESULT FOUND_TILING nodes=1208 maxdepth=25 pruneA=10 pruneR=130 pruneP4=280 pruneP5=345  [1s]
(4,5) q=1  RESULT EXHAUSTED_NO_TILING nodes=381 maxdepth=13 pruneA=0 pruneR=15 pruneP4=110 pruneP5=180  [0s]
(1,6) q=0  RESULT FOUND_TILING nodes=2442 maxdepth=36 pruneA=210 pruneR=154 pruneP4=0 pruneP5=233  [1s]
(1,6) q=1  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(1,6) q=2  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(1,6) q=3  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(1,6) q=4  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(1,6) q=5  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(1,6) q=6  RESULT EXHAUSTED_NO_TILING nodes=123 maxdepth=15 pruneA=1 pruneR=0 pruneP4=0 pruneP5=11  [0s]
(5,6) q=0  RESULT FOUND_TILING nodes=8796 maxdepth=36 pruneA=66 pruneR=837 pruneP4=2510 pruneP5=1435  [5s]
(5,6) q=1  RESULT EXHAUSTED_NO_TILING nodes=2892 maxdepth=17 pruneA=0 pruneR=61 pruneP4=788 pruneP5=930  [2s]
(1,7) q=0  RESULT FOUND_TILING nodes=17270 maxdepth=49 pruneA=1074 pruneR=1133 pruneP4=0 pruneP5=964  [13s]
(1,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [0s]
(1,7) q=2  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [1s]
(1,7) q=3  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [0s]
(1,7) q=4  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [0s]
(1,7) q=5  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [1s]
(1,7) q=6  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [0s]
(1,7) q=7  RESULT EXHAUSTED_NO_TILING nodes=315 maxdepth=19 pruneA=1 pruneR=0 pruneP4=0 pruneP5=13  [1s]
(2,7) q=0  RESULT FOUND_TILING nodes=777621 maxdepth=49 pruneA=57746 pruneR=105385 pruneP4=104048 pruneP5=54440  [726s]
(2,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=783 maxdepth=17 pruneA=1 pruneR=32 pruneP4=328 pruneP5=137  [0s]
(2,7) q=2  RESULT EXHAUSTED_NO_TILING nodes=783 maxdepth=17 pruneA=1 pruneR=32 pruneP4=328 pruneP5=137  [1s]
(2,7) q=3  RESULT EXHAUSTED_NO_TILING nodes=783 maxdepth=17 pruneA=1 pruneR=32 pruneP4=328 pruneP5=137  [0s]
(3,7) q=0  RESULT FOUND_TILING nodes=480768 maxdepth=49 pruneA=47890 pruneR=100643 pruneP4=49479 pruneP5=35845  [383s]
(3,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=6043 maxdepth=18 pruneA=1 pruneR=434 pruneP4=2262 pruneP5=1417  [3s]
(3,7) q=2  RESULT EXHAUSTED_NO_TILING nodes=6043 maxdepth=18 pruneA=1 pruneR=434 pruneP4=2262 pruneP5=1417  [3s]
(4,7) q=0  RESULT FOUND_TILING nodes=364830 maxdepth=49 pruneA=22436 pruneR=88778 pruneP4=72530 pruneP5=46712  [238s]
(4,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=8386 maxdepth=17 pruneA=1 pruneR=1047 pruneP4=2212 pruneP5=6509  [5s]
(5,7) q=0  RESULT FOUND_TILING nodes=182956 maxdepth=49 pruneA=8364 pruneR=41468 pruneP4=44975 pruneP5=21133  [121s]
(5,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=12901 maxdepth=19 pruneA=0 pruneR=1164 pruneP4=3587 pruneP5=9296  [8s]
(6,7) q=0  RESULT FOUND_TILING nodes=94581 maxdepth=49 pruneA=1412 pruneR=11423 pruneP4=27034 pruneP5=7300  [99s]
(6,7) q=1  RESULT EXHAUSTED_NO_TILING nodes=12585 maxdepth=21 pruneA=0 pruneR=214 pruneP4=3628 pruneP5=3728  [9s]

== f = 8..9, family words ==
(1,8) q=1  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [2s]
(1,8) q=2  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(1,8) q=3  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(1,8) q=4  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(1,8) q=5  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(1,8) q=6  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [2s]
(1,8) q=7  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(1,8) q=8  RESULT EXHAUSTED_NO_TILING nodes=763 maxdepth=22 pruneA=1 pruneR=0 pruneP4=0 pruneP5=15  [1s]
(3,8) q=1  RESULT EXHAUSTED_NO_TILING nodes=8997 maxdepth=20 pruneA=1 pruneR=648 pruneP4=3366 pruneP5=2095  [6s]
(3,8) q=2  RESULT EXHAUSTED_NO_TILING nodes=8997 maxdepth=20 pruneA=1 pruneR=648 pruneP4=3366 pruneP5=2095  [5s]
(5,8) q=1  RESULT EXHAUSTED_NO_TILING nodes=67522 maxdepth=21 pruneA=0 pruneR=8722 pruneP4=16039 pruneP5=54642  [50s]
(7,8) q=1  RESULT EXHAUSTED_NO_TILING nodes=106031 maxdepth=25 pruneA=0 pruneR=1086 pruneP4=30160 pruneP5=21274  [123s]
(1,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=2  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=3  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=4  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=5  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=6  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=7  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=8  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(1,9) q=9  RESULT EXHAUSTED_NO_TILING nodes=1531 maxdepth=25 pruneA=1 pruneR=0 pruneP4=0 pruneP5=17  [5s]
(2,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=7049 maxdepth=23 pruneA=1 pruneR=79 pruneP4=3360 pruneP5=358  [8s]
(2,9) q=2  RESULT EXHAUSTED_NO_TILING nodes=7049 maxdepth=23 pruneA=1 pruneR=79 pruneP4=3360 pruneP5=358  [7s]
(2,9) q=3  RESULT EXHAUSTED_NO_TILING nodes=7049 maxdepth=23 pruneA=1 pruneR=79 pruneP4=3360 pruneP5=358  [7s]
(2,9) q=4  RESULT EXHAUSTED_NO_TILING nodes=7049 maxdepth=23 pruneA=1 pruneR=79 pruneP4=3360 pruneP5=358  [7s]
(4,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=125293 maxdepth=24 pruneA=1 pruneR=8859 pruneP4=47362 pruneP5=30225  [83s]
(4,9) q=2  RESULT EXHAUSTED_NO_TILING nodes=125293 maxdepth=24 pruneA=1 pruneR=8859 pruneP4=47362 pruneP5=30225  [83s]
(5,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=187984 maxdepth=23 pruneA=1 pruneR=23086 pruneP4=51196 pruneP5=146459  [169s]
(7,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=718454 maxdepth=27 pruneA=0 pruneR=29012 pruneP4=181060 pruneP5=357305  [783s]
(8,9) q=1  RESULT EXHAUSTED_NO_TILING nodes=497876 maxdepth=29 pruneA=0 pruneR=3724 pruneP4=161120 pruneP5=83103  [785s]

== f <= 7 clean sequential cross-check (pinned-standard controls; single writer) ==
# 59 rows: 42 family EXHAUSTED + 17 controls FOUND, all as expected; verdicts and
# node counts agree with the campaign rows above wherever comparable.
# ok rows: 59
