N	tile	files
3	2 3 4	private/inst/mid12.txt
4	10 21 25	private/ROOM/window/scratch/inst/sc_2_5_k2.txt
4	11 30 36	private/ROOM/window/scratch/inst/sc_5_6_k2.txt
4	2 3 4	private/ROOM/window/scratch/inst/sc_1_2_k2.txt
4	28 33 49	private/ROOM/window/scratch/inst/sc_4_7_k2.txt
4	3 8 9	private/ROOM/window/scratch/inst/sc_1_3_k2.txt
4	4 15 16	private/ROOM/window/scratch/inst/sc_1_4_k2.txt
4	5 24 25	private/ROOM/window/scratch/inst/sc_1_5_k2.txt
4	5 6 9	private/ROOM/window/scratch/inst/sc_2_3_k2.txt
4	7 12 16	private/ROOM/window/scratch/inst/sc_3_4_k2.txt
6	2 3 4	private/inst/strip12.txt,private/inst/tri12_23.txt
6	5 6 9	private/inst/tri23_23.txt
7	2 3 4	private/inst/cevm1_1_2.txt
8	3 5 7	private/inst/zhang_x4.txt
9	10 21 25	private/ROOM/window/scratch/inst/sc_2_5_k3.txt
9	11 30 36	private/ROOM/window/scratch/inst/sc_5_6_k3.txt
9	2 3 4	private/ROOM/window/scratch/inst/sc_1_2_k3.txt
9	28 33 49	private/ROOM/window/scratch/inst/sc_4_7_k3.txt
9	3 8 9	private/ROOM/window/scratch/inst/sc_1_3_k3.txt
9	4 15 16	private/ROOM/window/scratch/inst/sc_1_4_k3.txt
9	5 24 25	private/ROOM/window/scratch/inst/sc_1_5_k3.txt
9	5 6 9	private/ROOM/window/scratch/inst/sc_2_3_k3.txt
9	7 12 16	private/ROOM/window/scratch/inst/sc_3_4_k3.txt
10	5 6 9	private/inst/strip23.txt
11	2 3 4	private/ROOM/window/scratch/inst/bb_1_2_m1.txt,private/inst/i11.txt,private/inst/w11.txt
12	2 3 4	private/inst/midM2.txt
14	2 3 4	private/inst/wpg14_2a.txt,private/inst/wpg14_apb.txt,private/inst/wpg14_beta.txt
14	3 5 7	private/inst/zhang_x7.txt
14	5 6 9	private/inst/cev14.txt,private/inst/cevm1_2_3.txt
14	7 12 16	private/inst/strip34.txt
15	3 5 7	private/inst/zeq1.txt
16	10 21 25	private/ROOM/window/scratch/inst/sc_2_5_k4.txt
16	11 30 36	private/ROOM/window/scratch/inst/sc_5_6_k4.txt
16	2 3 4	private/ROOM/window/scratch/inst/sc_1_2_k4.txt
16	28 33 49	private/ROOM/window/scratch/inst/sc_4_7_k4.txt
16	3 5 7	private/inst/zhang_x8.txt
16	3 8 9	private/ROOM/window/scratch/inst/sc_1_3_k4.txt
16	4 15 16	private/ROOM/window/scratch/inst/sc_1_4_k4.txt
16	5 24 25	private/ROOM/window/scratch/inst/sc_1_5_k4.txt
16	5 6 9	private/ROOM/window/scratch/inst/sc_2_3_k4.txt
16	7 12 16	private/ROOM/window/scratch/inst/sc_3_4_k4.txt
17	3 8 9	private/inst/cevm1_1_3.txt
22	2 3 4	private/inst/pgram22.txt
22	5 6 9	private/inst/strip23_s.txt
23	5 6 9	private/inst/i23.txt,private/inst/w23.txt
23	7 12 16	private/inst/cevm1_3_4.txt
24	3 5 7	private/inst/z24.txt
25	11 30 36	private/ROOM/window/scratch/inst/sc_5_6_k5.txt
25	2 3 4	private/ROOM/window/scratch/inst/sc_1_2_k5.txt
25	3 8 9	private/ROOM/window/scratch/inst/sc_1_3_k5.txt
25	5 6 9	private/ROOM/window/scratch/inst/sc_2_3_k5.txt
26	3 8 9	private/inst/i26.txt,private/inst/q26.txt,private/inst/seed26_ends.txt,private/inst/seed26_j0.txt,private/inst/seed26_j1.txt,private/inst/seed26_j2.txt,private/inst/seed26_j3.txt,private/inst/w26.txt,private/inst/w26_word1.txt
26	7 8 13	private/inst/zhang78_x13.txt
27	2 3 4	private/inst/midM3.txt
28	2 3 4	private/inst/cev28.txt
30	7 8 13	private/inst/zhang78_x15.txt
31	4 15 16	private/inst/cevm1_1_4.txt
32	3 8 9	private/inst/mid32.txt
33	3 5 7	private/inst/z33.txt
34	9 20 25	private/inst/cevm1_4_5.txt
36	11 30 36	private/ROOM/window/scratch/inst/sc_5_6_k6.txt
36	2 3 4	private/ROOM/window/scratch/inst/sc_1_2_k6.txt
36	3 8 9	private/ROOM/window/scratch/inst/sc_1_3_k6.txt
36	5 6 9	private/ROOM/window/scratch/inst/sc_2_3_k6.txt
39	7 12 16	private/inst/i39.txt,private/inst/w39.txt
40	3 5 7	private/inst/z40.txt
41	15 16 25	private/inst/cevm1_3_5.txt
44	2 3 4	private/ROOM/window/scratch/inst/bb_1_2_m2.txt,private/inst/g44.txt,private/inst/i44.txt,private/inst/i44_fwd.txt,private/inst/seedtest10.txt,private/inst/seedtest30.txt,private/inst/seedtest40.txt,private/inst/seedtest43.txt
46	10 21 25	private/inst/cev46.txt,private/inst/cevm1_2_5.txt
46	5 6 9	private/inst/pgram46.txt
47	11 30 36	private/inst/cevm1_5_6.txt
47	4 15 16	private/inst/i47.txt,private/inst/q47.txt,private/inst/uni_f4_b3c2.txt,private/inst/uni_f4_b4c2.txt
49	13 42 49	private/inst/w67_k7_p0.txt,private/inst/w67_k7_p1.txt
49	5 24 25	private/inst/cevm1_1_5.txt
52	3 8 9	private/inst/pgram52.txt
56	5 6 9	private/inst/cev56.txt
56	7 8 13	private/inst/zeq78.txt
59	9 20 25	private/inst/i59.txt
60	3 5 7	private/inst/zeq2.txt
62	13 42 49	private/inst/cev62.txt,private/inst/cevm1_6_7.txt
63	2 3 4	private/inst/cev63.txt
65	3 5 7	private/inst/z65.txt
66	15 16 25	private/ROOM/window/w66.txt,private/inst/i66.txt
68	3 8 9	private/inst/cev68.txt
70	5 6 9	private/inst/g70.txt,private/inst/i70.txt
71	10 21 25	private/inst/col_e2_f5.txt,private/inst/i71.txt,private/inst/w71.txt
71	6 35 36	private/inst/cevm1_1_6.txt
74	5 24 25	private/inst/i74.txt,private/inst/q74.txt,private/inst/uni_f5_b3c2.txt,private/inst/uni_f5_b4c2.txt,private/inst/uni_f5_b5c2.txt,private/inst/uni_f5_b5c3.txt,private/inst/w74.txt
78	7 12 16	private/inst/pgram78.txt
80	5 16 19	private/inst/zeq516.txt
83	11 30 36	private/inst/i83.txt
84	10 21 25	private/inst/g84.txt
84	2 3 4	private/inst/g84c.txt
84	21 110 121	private/inst/g84b.txt
87	87 1892 1936	private/inst/g87b.txt
87	87 208 256	private/inst/g87a.txt
88	3 5 7	private/inst/g88c.txt,private/inst/z88.txt
88	88 117 169	private/inst/g88a.txt
88	88 483 529	private/inst/g88b.txt
92	5 6 9	private/inst/g92.txt
94	4 15 16	private/inst/pgram94.txt
99	2 3 4	private/ROOM/window/scratch/inst/bb_1_2_m3.txt,private/inst/g99.txt
104	3 5 7	private/inst/z104.txt
104	3 8 9	private/inst/g104.txt,private/inst/g104seed.txt
105	7 8 13	private/inst/z78_105.txt
107	6 35 36	private/inst/i107.txt,private/inst/uni_f6_b3c2.txt,private/inst/uni_f6_b4c2.txt,private/inst/uni_f6_b5c2.txt,private/inst/uni_f6_b5c3.txt,private/inst/uni_f6_b6c2.txt,private/inst/w107.txt
120	7 8 13	private/inst/z78_120.txt
122	24 35 49	private/ROOM/window/w122.txt
131	28 33 49	private/inst/f131.txt
135	3 5 7	private/inst/zeq3.txt
143	14 45 49	private/inst/col_e2_f7.txt
146	7 48 49	private/inst/uni_f7_b4c2.txt,private/inst/uni_f7_b5c2.txt,private/inst/uni_f7_b5c3.txt,private/inst/uni_f7_b6c2.txt,private/inst/uni_f7_b7c2.txt,private/inst/w146.txt,private/inst/w146e.txt
191	8 63 64	private/inst/i191.txt,private/inst/p191.txt,private/inst/q191.txt,private/inst/uni_f8_b3c2.txt,private/inst/uni_f8_b4c2.txt,private/inst/uni_f8_b5c2.txt,private/inst/uni_f8_b5c3.txt,private/inst/uni_f8_b5c6.txt,private/inst/uni_f8_b5c7.txt,private/inst/uni_f8_b5c8.txt,private/inst/uni_f8_b5c9.txt,private/inst/uni_f8_b6c2.txt,private/inst/uni_f8_b7c2.txt,private/inst/w191_b3c2.txt,private/inst/w191_b4c2.txt,private/inst/w191_b5c2.txt,private/inst/w191_b5c3.txt,private/inst/w191_b5c6.txt,private/inst/w191_b5c7.txt,private/inst/w191_b5c8.txt,private/inst/w191_b5c9.txt
234	3 8 9	private/inst/g234.txt,private/inst/g234m20.txt,private/inst/g234m8.txt,private/inst/g234qc.txt,private/inst/g234seed.txt,private/inst/g234w.txt
239	18 77 81	private/inst/col_e2_f9.txt
242	9 80 81	private/inst/uni_f9_b4c2.txt,private/inst/uni_f9_b7c2.txt
299	10 99 100	private/inst/uni_f10_b4c2.txt,private/inst/uni_f10_b5c9.txt
431	12 143 144	private/inst/uni_f12_b4c2.txt,private/inst/uni_f12_b5c10.txt,private/inst/uni_f12_b5c11.txt,private/inst/uni_f12_b5c12.txt,private/inst/uni_f12_b5c13.txt,private/inst/uni_f12_b5c2.txt,private/inst/uni_f12_b5c3.txt,private/inst/uni_f12_b5c6.txt,private/inst/uni_f12_b5c7.txt,private/inst/uni_f12_b5c8.txt,private/inst/uni_f12_b5c9.txt,private/inst/uni_f12_b6c10.txt,private/inst/uni_f12_b6c11.txt,private/inst/uni_f12_b6c12.txt,private/inst/uni_f12_b6c13.txt,private/inst/uni_f12_b6c2.txt,private/inst/uni_f12_b6c3.txt,private/inst/uni_f12_b6c4.txt,private/inst/uni_f12_b6c5.txt,private/inst/uni_f12_b6c7.txt,private/inst/uni_f12_b6c8.txt,private/inst/uni_f12_b6c9.txt,private/inst/uni_f12_b7c10.txt,private/inst/uni_f12_b7c11.txt,private/inst/uni_f12_b7c12.txt,private/inst/uni_f12_b7c13.txt,private/inst/uni_f12_b7c2.txt,private/inst/uni_f12_b7c3.txt,private/inst/uni_f12_b7c4.txt,private/inst/uni_f12_b7c5.txt,private/inst/uni_f12_b7c6.txt,private/inst/uni_f12_b7c8.txt,private/inst/uni_f12_b7c9.txt,private/inst/uni_f12_b8c11.txt,private/inst/uni_f12_b8c7.txt,private/inst/uni_f12_b9c11.txt
506	13 168 169	private/inst/uni_f13_b6c12.txt
587	14 195 196	private/inst/uni_f14_b10c9.txt,private/inst/uni_f14_b3c2.txt,private/inst/uni_f14_b4c2.txt,private/inst/uni_f14_b4c3.txt,private/inst/uni_f14_b5c10.txt,private/inst/uni_f14_b5c11.txt,private/inst/uni_f14_b5c12.txt,private/inst/uni_f14_b5c13.txt,private/inst/uni_f14_b5c14.txt,private/inst/uni_f14_b5c15.txt,private/inst/uni_f14_b5c2.txt,private/inst/uni_f14_b5c3.txt,private/inst/uni_f14_b5c4.txt,private/inst/uni_f14_b5c6.txt,private/inst/uni_f14_b5c7.txt,private/inst/uni_f14_b5c8.txt,private/inst/uni_f14_b5c9.txt,private/inst/uni_f14_b6c10.txt,private/inst/uni_f14_b6c11.txt,private/inst/uni_f14_b6c12.txt,private/inst/uni_f14_b6c13.txt,private/inst/uni_f14_b6c14.txt,private/inst/uni_f14_b6c15.txt,private/inst/uni_f14_b6c2.txt,private/inst/uni_f14_b6c3.txt,private/inst/uni_f14_b6c4.txt,private/inst/uni_f14_b6c5.txt,private/inst/uni_f14_b6c7.txt,private/inst/uni_f14_b6c8.txt,private/inst/uni_f14_b6c9.txt,private/inst/uni_f14_b7c10.txt,private/inst/uni_f14_b7c11.txt,private/inst/uni_f14_b7c12.txt,private/inst/uni_f14_b7c13.txt,private/inst/uni_f14_b7c14.txt,private/inst/uni_f14_b7c15.txt,private/inst/uni_f14_b7c2.txt,private/inst/uni_f14_b7c3.txt,private/inst/uni_f14_b7c4.txt,private/inst/uni_f14_b7c5.txt,private/inst/uni_f14_b7c6.txt,private/inst/uni_f14_b7c8.txt,private/inst/uni_f14_b7c9.txt,private/inst/uni_f14_b8c10.txt,private/inst/uni_f14_b8c11.txt,private/inst/uni_f14_b8c12.txt,private/inst/uni_f14_b8c13.txt,private/inst/uni_f14_b8c14.txt,private/inst/uni_f14_b8c15.txt,private/inst/uni_f14_b8c2.txt,private/inst/uni_f14_b8c3.txt,private/inst/uni_f14_b8c4.txt,private/inst/uni_f14_b8c5.txt,private/inst/uni_f14_b8c6.txt,private/inst/uni_f14_b8c7.txt,private/inst/uni_f14_b8c9.txt,private/inst/uni_f14_b9c8.txt
674	15 224 225	private/inst/uni_f15_b6c14.txt
767	16 255 256	private/inst/uni_f16_b12c11.txt,private/inst/uni_f16_b4c2.txt,private/inst/uni_f16_b5c15.txt,private/inst/uni_f16_b5c2.txt,private/inst/uni_f16_b5c3.txt,private/inst/uni_f16_b6c2.txt,private/inst/uni_f16_b6c3.txt,private/inst/uni_f16_b6c5.txt,private/inst/uni_f16_b7c2.txt,private/inst/uni_f16_b7c6.txt,private/inst/uni_f16_b8c2.txt,private/inst/uni_f16_b8c7.txt
